iter	Logloss
0	0.686849787
1	0.6803026092
2	0.6746089807
3	0.6687542347
4	0.6656101955
5	0.6625263343
6	0.6574374853
7	0.6527243625
8	0.6473326094
9	0.6424096354
10	0.6373312447
11	0.6321489998
12	0.6269239361
13	0.6228005056
14	0.6182167825
15	0.6141235694
16	0.6095007564
17	0.6054674213
18	0.6011042648
19	0.598865509
20	0.595247333
21	0.5913654285
22	0.5879108986
23	0.5858587201
24	0.5815532984
25	0.579461387
26	0.575517633
27	0.5723513485
28	0.5687065982
29	0.5654536044
30	0.5624386219
31	0.5588676367
32	0.5570646136
33	0.5543898679
34	0.5526048467
35	0.5492711014
36	0.5461871544
37	0.5428374644
38	0.5412021165
39	0.5378649422
40	0.5351048587
41	0.533727753
42	0.5307900504
43	0.5283020962
44	0.5267447997
45	0.5246593175
46	0.5215535968
47	0.5187018748
48	0.5160319296
49	0.5131336169
50	0.510643734
51	0.5084592841
52	0.5061286326
53	0.5046831195
54	0.5022665302
55	0.5002588851
56	0.498008128
57	0.4963870531
58	0.4940903053
59	0.4919827065
60	0.489848019
61	0.4876374663
62	0.485331246
63	0.4834787176
64	0.4814087086
65	0.4798459685
66	0.4779177033
67	0.4761040934
68	0.4750734822
69	0.4735063703
70	0.4724659438
71	0.4710955673
72	0.4694263587
73	0.4681843533
74	0.4668460374
75	0.465114122
76	0.4635215931
77	0.4624139164
78	0.46096386
79	0.459810707
80	0.4584538749
81	0.4569594565
82	0.4556414143
83	0.4550098891
84	0.4542522216
85	0.4530203316
86	0.4519901919
87	0.4507930198
88	0.4497874828
89	0.4487549
90	0.4474222419
91	0.4463549839
92	0.4450450426
93	0.4433976077
94	0.4421216129
95	0.4409332275
96	0.4404508184
97	0.4400460747
98	0.4387895391
99	0.4375063007
100	0.4371259025
101	0.4357798287
102	0.4347646478
103	0.4336897604
104	0.4323962351
105	0.4313818685
106	0.4308368383
107	0.4303047094
108	0.4294375302
109	0.4285205455
110	0.4276145764
111	0.4268514655
112	0.4260424925
113	0.4254548148
114	0.4244121594
115	0.4235295928
116	0.4230290959
117	0.4228876521
118	0.4221685602
119	0.4216248159
120	0.4211220045
121	0.4202550824
122	0.4192537029
123	0.4183790657
124	0.4175389322
125	0.4170283628
126	0.4165537973
127	0.4157625263
128	0.4151870213
129	0.4144789449
130	0.414109005
131	0.4132150371
132	0.4125091896
133	0.411942557
134	0.4111460139
135	0.410701966
136	0.4101031014
137	0.4093309895
138	0.4087328536
139	0.4082245559
140	0.4075988169
141	0.4072893121
142	0.4065645196
143	0.406097455
144	0.4054407698
145	0.4047313647
146	0.4041128266
147	0.4039218774
148	0.4035163194
149	0.4030820868
150	0.4024791932
151	0.4017622873
152	0.4013114672
153	0.4010751274
154	0.4005330975
155	0.3999104018
156	0.3995152591
157	0.3990572383
158	0.3986228343
159	0.3981036926
160	0.3974283626
161	0.3969039917
162	0.3962534358
163	0.3958805813
164	0.3955470739
165	0.3953175063
166	0.3947689614
167	0.3943093546
168	0.3938792368
169	0.3934467616
170	0.3930447182
171	0.3925645807
172	0.3920834145
173	0.3918419313
174	0.3915709592
175	0.3914028553
176	0.3911008513
177	0.3909990118
178	0.3906844921
179	0.3902297288
180	0.3898636036
181	0.3894233275
182	0.3890823621
183	0.3886984922
184	0.3882129969
185	0.3879808147
186	0.3875550259
187	0.3871355378
188	0.3868618226
189	0.3866431418
190	0.3865290438
191	0.3862694301
192	0.3861302579
193	0.3858210532
194	0.3857310434
195	0.385230118
196	0.3849431584
197	0.3847855986
198	0.3845330571
199	0.3844579204
200	0.3842565987
201	0.3839644529
202	0.3838708428
203	0.383733085
204	0.3834275664
205	0.3829313128
206	0.3827881545
207	0.3825101531
208	0.3821931475
209	0.381973438
210	0.3817643155
211	0.3816454598
212	0.3815098452
213	0.3813317545
214	0.3810067338
215	0.3807172882
216	0.3805013935
217	0.3803658646
218	0.380148384
219	0.3798214344
220	0.3797662285
221	0.3794858697
222	0.3792939347
223	0.3792691177
224	0.3790417789
225	0.3788368997
226	0.3787225445
227	0.3783005275
228	0.3779999808
229	0.3777216365
230	0.377478696
231	0.3771803781
232	0.3770313906
233	0.3769144637
234	0.3767831352
235	0.3765725554
236	0.3763324866
237	0.3763156848
238	0.3760044655
239	0.3759726621
240	0.3756057225
241	0.3754311894
242	0.3751786478
243	0.3750027432
244	0.3749359645
245	0.3747152693
246	0.3744213233
247	0.3741037605
248	0.3738914661
249	0.3736923732
250	0.3735721031
251	0.3731821467
252	0.3728702417
253	0.3725828106
254	0.3723548718
255	0.3722439027
256	0.3720448526
257	0.371907052
258	0.3717017442
259	0.3715875176
260	0.3713616789
261	0.3711467271
262	0.3710211422
263	0.3706595603
264	0.370304922
265	0.3700579525
266	0.3698491729
267	0.3694874624
268	0.3690921483
269	0.3690242553
270	0.368700006
271	0.3685250872
272	0.3682692453
273	0.3682464857
274	0.3679877292
275	0.3676958406
276	0.3674936187
277	0.3674383271
278	0.3671190069
279	0.366942845
280	0.3668785952
281	0.3665127701
282	0.3663402086
283	0.3662170667
284	0.3661726191
285	0.3660048581
286	0.3659685971
287	0.3657960356
288	0.3655956997
289	0.3654978891
290	0.3654844305
291	0.3653139693
292	0.3651628816
293	0.3650347249
294	0.3649266704
295	0.3647346068
296	0.3644684352
297	0.3642814722
298	0.3641523726
299	0.3638919016
300	0.3637520865
301	0.363650247
302	0.3634082923
303	0.3631494072
304	0.362970245
305	0.3628753491
306	0.362779553
307	0.3626200215
308	0.3625842319
309	0.3624833353
310	0.362281285
311	0.362105766
312	0.3619548926
313	0.3618176064
314	0.3616401158
315	0.3615829382
316	0.3614223352
317	0.3612636609
318	0.3611821378
319	0.361010005
320	0.360904565
321	0.3608291283
322	0.360743962
323	0.3605562274
324	0.3605271672
325	0.3602854697
326	0.3601140226
327	0.3598972706
328	0.3596121113
329	0.3594700245
330	0.3593704138
331	0.3592972488
332	0.3592618878
333	0.3592265911
