iter	Passed	Remaining
0	3	3504
1	8	4463
2	12	4181
3	16	4085
4	18	3645
5	20	3337
6	23	3286
7	27	3457
8	31	3463
9	35	3493
10	39	3530
11	42	3532
12	46	3541
13	49	3460
14	52	3460
15	55	3420
16	59	3421
17	62	3418
18	66	3420
19	68	3337
20	70	3288
21	74	3299
22	77	3281
23	79	3219
24	82	3232
25	85	3193
26	88	3201
27	91	3184
28	95	3198
29	99	3220
30	103	3244
31	107	3252
32	111	3262
33	115	3280
34	117	3252
35	121	3261
36	125	3272
37	129	3284
38	131	3236
39	133	3212
40	136	3189
41	137	3136
42	139	3100
43	143	3107
44	149	3176
45	151	3136
46	154	3134
47	163	3244
48	165	3212
49	173	3297
50	178	3328
51	182	3331
52	184	3293
53	185	3258
54	187	3227
55	207	3497
56	213	3527
57	223	3634
58	228	3636
59	233	3660
60	237	3648
61	240	3636
62	242	3614
63	246	3600
64	249	3583
65	250	3549
66	252	3514
67	253	3479
68	254	3439
69	256	3407
70	257	3368
71	258	3333
72	260	3304
73	261	3270
74	262	3239
75	264	3211
76	265	3183
77	266	3155
78	268	3129
79	269	3104
80	271	3079
81	272	3056
82	276	3050
83	279	3052
84	283	3050
85	287	3054
86	294	3089
87	298	3088
88	299	3066
89	300	3043
90	302	3023
91	304	3001
92	305	2981
93	307	2960
94	308	2939
95	310	2919
96	310	2893
97	311	2867
98	312	2848
99	314	2829
100	315	2804
101	316	2786
102	317	2767
103	319	2749
104	320	2732
105	321	2715
106	323	2698
107	324	2683
108	326	2667
109	327	2652
110	329	2637
111	330	2622
112	332	2610
113	334	2598
114	335	2584
115	337	2570
116	338	2552
117	338	2533
118	340	2519
119	341	2502
120	342	2486
121	343	2473
122	345	2460
123	346	2447
124	347	2435
125	349	2422
126	350	2407
127	351	2396
128	353	2385
129	354	2375
130	356	2362
131	359	2365
132	362	2361
133	364	2356
134	366	2348
135	368	2338
136	370	2331
137	371	2322
138	373	2313
139	375	2305
140	376	2296
141	378	2284
142	379	2275
143	381	2266
144	382	2257
145	384	2249
146	386	2240
147	387	2228
148	388	2218
149	390	2213
150	392	2206
151	394	2198
152	397	2199
153	398	2188
154	400	2182
155	401	2174
156	403	2166
157	404	2157
158	406	2148
159	408	2142
160	410	2137
161	411	2129
162	413	2121
163	414	2113
164	416	2105
165	417	2097
166	419	2091
167	420	2084
168	422	2076
169	423	2069
170	425	2061
171	426	2054
172	428	2047
173	429	2037
174	430	2031
175	431	2022
176	433	2015
177	434	2006
178	435	1999
179	437	1992
180	438	1986
181	440	1979
182	442	1973
183	443	1966
184	445	1960
185	446	1953
186	447	1946
187	449	1940
188	450	1934
189	452	1928
190	453	1919
191	454	1913
192	455	1905
193	457	1899
194	458	1891
195	459	1885
196	461	1880
197	463	1875
198	465	1874
199	466	1866
200	468	1862
201	470	1857
202	471	1850
203	473	1845
204	474	1840
205	476	1835
206	477	1830
207	479	1825
208	481	1821
209	482	1815
210	483	1809
211	485	1803
212	486	1797
213	487	1791
214	489	1787
215	491	1782
216	492	1777
217	494	1774
218	496	1769
219	497	1764
220	498	1757
221	500	1753
222	501	1747
223	502	1739
224	503	1734
225	505	1729
226	506	1724
227	507	1719
228	509	1714
229	510	1709
230	511	1704
231	513	1699
232	514	1694
233	515	1688
234	517	1683
235	518	1678
236	520	1674
237	520	1667
238	522	1664
239	523	1658
240	525	1654
241	526	1649
242	528	1645
243	529	1641
244	530	1634
245	531	1630
246	533	1625
247	534	1621
248	536	1616
249	537	1612
250	539	1608
251	540	1604
252	542	1600
253	543	1596
254	545	1593
255	546	1588
256	549	1587
257	550	1583
258	552	1579
259	553	1574
260	554	1570
261	556	1566
262	557	1561
263	558	1557
264	560	1553
265	561	1549
266	562	1545
267	564	1541
268	565	1537
269	567	1533
270	568	1529
271	570	1525
272	571	1522
273	572	1516
274	573	1512
275	575	1508
276	576	1505
277	577	1499
278	578	1495
279	580	1492
280	581	1488
281	583	1484
282	584	1481
283	585	1477
284	587	1473
285	588	1469
286	589	1464
287	590	1460
288	592	1457
289	593	1453
290	594	1448
291	595	1444
292	597	1441
293	598	1437
294	599	1433
295	601	1429
296	602	1426
297	604	1422
298	605	1419
299	606	1415
300	608	1412
301	609	1408
302	610	1405
303	612	1401
304	613	1398
305	614	1394
306	615	1390
307	617	1386
308	618	1382
309	619	1379
310	621	1375
311	622	1372
312	623	1369
313	625	1365
314	626	1362
315	628	1359
316	629	1356
317	631	1353
318	632	1349
319	633	1346
320	634	1343
321	636	1339
322	637	1336
323	638	1332
324	639	1328
325	641	1325
326	642	1322
327	644	1319
328	645	1316
329	647	1313
330	648	1310
331	649	1307
332	650	1303
333	651	1299
334	653	1296
335	654	1292
336	655	1290
337	656	1286
338	658	1283
339	659	1280
340	661	1277
341	662	1274
342	663	1271
343	665	1268
344	666	1265
345	668	1262
346	669	1259
347	670	1256
348	672	1253
349	673	1250
350	674	1246
351	675	1243
352	677	1241
353	678	1238
354	679	1234
355	680	1231
356	682	1229
357	683	1226
358	685	1223
359	686	1221
360	688	1218
361	689	1215
362	691	1212
363	692	1210
364	694	1207
365	695	1204
366	696	1201
367	697	1197
368	699	1195
369	700	1192
370	701	1190
371	703	1186
372	704	1184
373	706	1181
374	707	1179
375	709	1176
376	710	1174
377	712	1171
378	713	1169
379	714	1166
380	716	1163
381	717	1160
382	718	1157
383	720	1155
384	721	1152
385	722	1149
386	724	1147
387	725	1144
388	726	1140
389	727	1138
390	729	1135
391	730	1132
392	731	1130
393	733	1127
394	734	1125
395	735	1122
396	737	1119
397	738	1117
398	739	1114
399	741	1112
400	742	1109
401	744	1107
402	745	1104
403	747	1102
404	748	1099
405	749	1096
406	751	1094
407	751	1090
408	753	1088
409	754	1085
410	755	1083
411	756	1080
412	758	1077
413	759	1075
414	761	1072
415	762	1070
416	763	1067
417	765	1065
418	765	1062
419	767	1059
420	768	1056
421	769	1054
422	770	1051
423	771	1048
424	773	1046
425	774	1043
426	775	1040
427	776	1038
428	777	1035
429	779	1032
430	780	1029
431	781	1027
432	783	1025
433	784	1023
434	785	1020
435	787	1018
436	788	1015
437	789	1013
438	791	1011
439	792	1008
440	794	1006
441	795	1004
442	796	1001
443	798	999
444	799	996
445	800	994
446	802	992
447	803	989
448	804	987
449	806	985
450	807	982
451	808	980
452	810	978
453	811	976
454	812	973
455	814	971
456	815	969
457	816	966
458	818	964
459	819	962
460	820	959
461	822	957
462	823	955
463	824	953
464	826	950
465	827	948
466	829	946
467	830	943
468	830	940
469	832	938
470	833	935
471	834	933
472	835	931
473	837	929
474	838	926
475	839	924
476	840	922
477	842	919
478	843	917
479	844	915
480	846	913
481	847	910
482	848	908
483	850	906
484	851	904
485	853	902
486	854	899
487	855	897
488	856	895
489	857	892
490	859	890
491	860	888
492	861	886
493	863	884
494	864	882
495	865	879
496	867	877
497	868	875
498	870	873
499	871	871
500	872	869
501	874	867
502	875	865
503	876	862
504	877	860
505	879	858
506	880	856
507	882	854
508	883	852
509	884	850
510	885	847
511	887	845
512	889	844
513	890	842
514	891	839
515	893	837
516	894	835
517	895	833
518	896	831
519	898	828
520	899	826
521	900	824
522	901	822
523	902	820
524	904	818
525	905	816
526	907	814
527	908	812
528	909	809
529	910	807
530	912	805
531	913	803
532	914	801
533	916	799
534	917	797
535	919	795
536	920	793
537	921	791
538	923	789
539	924	787
540	925	785
541	926	783
542	928	781
543	929	779
544	930	777
545	932	775
546	933	773
547	934	771
548	936	769
549	937	767
550	939	765
551	940	762
552	941	760
